"tanggal","total_volume","total_nilai","nilai_hari_lalu","persentase_pertumbuhan"
"2023-04-19",36,134558524.00,110642726.00,21.62
"2023-04-20",31,100278627.00,134558524.00,-25.48
"2023-04-21",37,121627367.00,100278627.00,21.29
"2023-04-22",31,99260901.00,121627367.00,-18.39
"2023-04-23",27,85226967.00,99260901.00,-14.14
"2023-04-24",32,97303944.00,85226967.00,14.17
"2023-04-25",31,135069216.00,97303944.00,38.81
"2023-04-26",27,129170158.00,135069216.00,-4.37
"2023-04-27",25,59352478.00,129170158.00,-54.05
"2023-04-28",29,83517814.00,59352478.00,40.71
"2023-04-29",33,106562807.00,83517814.00,27.59
"2023-04-30",29,122751464.00,106562807.00,15.19
"2023-05-01",33,101337913.00,122751464.00,-17.44
"2023-05-02",38,122947690.00,101337913.00,21.32
"2023-05-03",30,104767983.00,122947690.00,-14.79
"2023-05-04",30,118674242.00,104767983.00,13.27
"2023-05-05",33,91102410.00,118674242.00,-23.23
"2023-05-06",42,145464732.00,91102410.00,59.67
"2023-05-07",40,123682602.00,145464732.00,-14.97
"2023-05-08",38,114591238.00,123682602.00,-7.35
"2023-05-09",39,156737793.00,114591238.00,36.78
"2023-05-10",29,78349278.00,156737793.00,-50.01
"2023-05-11",26,92751888.00,78349278.00,18.38
"2023-05-12",31,115799475.00,92751888.00,24.85
"2023-05-13",30,90015761.00,115799475.00,-22.27
"2023-05-14",44,119562835.00,90015761.00,32.82
"2023-05-15",30,102773930.00,119562835.00,-14.04
"2023-05-16",32,96177394.00,102773930.00,-6.42
"2023-05-17",27,69762644.00,96177394.00,-27.46
"2023-05-18",34,134392684.00,69762644.00,92.64
"2023-05-19",31,67292978.00,134392684.00,-49.93
"2023-05-20",38,128200183.00,67292978.00,90.51
"2023-05-21",42,131314839.00,128200183.00,2.43
"2023-05-22",23,102199465.00,131314839.00,-22.17
"2023-05-23",28,74598703.00,102199465.00,-27.01
"2023-05-24",36,107322287.00,74598703.00,43.87
"2023-05-25",35,103140095.00,107322287.00,-3.90
"2023-05-26",34,94841153.00,103140095.00,-8.05
"2023-05-27",45,140895770.00,94841153.00,48.56
"2023-05-28",27,72274590.00,140895770.00,-48.70
"2023-05-29",19,60215292.00,72274590.00,-16.69
"2023-05-30",27,94746753.00,60215292.00,57.35
"2023-05-31",24,89121918.00,94746753.00,-5.94
"2023-06-01",35,126561199.00,89121918.00,42.01
"2023-06-02",31,90854274.00,126561199.00,-28.21
"2023-06-03",24,88482386.00,90854274.00,-2.61
"2023-06-04",38,124421342.00,88482386.00,40.62
"2023-06-05",25,87346711.00,124421342.00,-29.80
"2023-06-06",33,105863294.00,87346711.00,21.20
"2023-06-07",37,142520155.00,105863294.00,34.63
"2023-06-08",25,109326405.00,142520155.00,-23.29
"2023-06-09",41,131832564.00,109326405.00,20.59
"2023-06-10",39,136793998.00,131832564.00,3.76
"2023-06-11",44,144052862.00,136793998.00,5.31
"2023-06-12",31,124234670.00,144052862.00,-13.76
"2023-06-13",32,112370552.00,124234670.00,-9.55
"2023-06-14",37,144734465.00,112370552.00,28.80
"2023-06-15",31,87868583.00,144734465.00,-39.29
"2023-06-16",23,87932709.00,87868583.00,0.07
"2023-06-17",37,93233380.00,87932709.00,6.03
"2023-06-18",37,133345139.00,93233380.00,43.02
"2023-06-19",38,106988433.00,133345139.00,-19.77
"2023-06-20",32,120230873.00,106988433.00,12.38
"2023-06-21",37,124510842.00,120230873.00,3.56
"2023-06-22",39,113178108.00,124510842.00,-9.10
"2023-06-23",35,126935721.00,113178108.00,12.16
"2023-06-24",29,112371338.00,126935721.00,-11.47
"2023-06-25",31,101135560.00,112371338.00,-10.00
"2023-06-26",37,119965980.00,101135560.00,18.62
"2023-06-27",38,115306425.00,119965980.00,-3.88
"2023-06-28",43,115289269.00,115306425.00,-0.01
"2023-06-29",30,71543463.00,115289269.00,-37.94
"2023-06-30",28,84850115.00,71543463.00,18.60
"2023-07-01",30,83076810.00,84850115.00,-2.09
"2023-07-02",39,124296268.00,83076810.00,49.62
"2023-07-03",30,115789765.00,124296268.00,-6.84
"2023-07-04",27,107682024.00,115789765.00,-7.00
"2023-07-05",32,116657836.00,107682024.00,8.34
"2023-07-06",40,176383316.00,116657836.00,51.20
"2023-07-07",35,94831456.00,176383316.00,-46.24
"2023-07-08",38,146492313.00,94831456.00,54.48
"2023-07-09",30,95549292.00,146492313.00,-34.78
"2023-07-10",30,130923732.00,95549292.00,37.02
"2023-07-11",23,72347460.00,130923732.00,-44.74
"2023-07-12",20,90333634.00,72347460.00,24.86
"2023-07-13",31,99948773.00,90333634.00,10.64
"2023-07-14",31,110792366.00,99948773.00,10.85
"2023-07-15",26,69907104.00,110792366.00,-36.90
"2023-07-16",38,118407286.00,69907104.00,69.38
"2023-07-17",29,93748166.00,118407286.00,-20.83
"2023-07-18",28,85292156.00,93748166.00,-9.02
"2023-07-19",28,111485718.00,85292156.00,30.71
"2023-07-20",34,81383007.00,111485718.00,-27.00
"2023-07-21",37,124436121.00,81383007.00,52.90
"2023-07-22",44,148314626.00,124436121.00,19.19
"2023-07-23",37,118095208.00,148314626.00,-20.38
"2023-07-24",40,152708614.00,118095208.00,29.31
"2023-07-25",26,87840372.00,152708614.00,-42.48
"2023-07-26",29,108867081.00,87840372.00,23.94
"2023-07-27",39,114789712.00,108867081.00,5.44
"2023-07-28",33,106551021.00,114789712.00,-7.18
"2023-07-29",47,172973499.00,106551021.00,62.34
"2023-07-30",32,121460144.00,172973499.00,-29.78
"2023-07-31",35,116042638.00,121460144.00,-4.46
"2023-08-01",32,113401905.00,116042638.00,-2.28
"2023-08-02",34,140611961.00,113401905.00,23.99
"2023-08-03",34,94795156.00,140611961.00,-32.58
"2023-08-04",27,108343802.00,94795156.00,14.29
"2023-08-05",20,57987055.00,108343802.00,-46.48
"2023-08-06",36,133470184.00,57987055.00,130.17
"2023-08-07",37,105444636.00,133470184.00,-21.00
"2023-08-08",29,92619058.00,105444636.00,-12.16
"2023-08-09",31,96549885.00,92619058.00,4.24
"2023-08-10",33,112583955.00,96549885.00,16.61
"2023-08-11",33,110255918.00,112583955.00,-2.07
"2023-08-12",40,134485593.00,110255918.00,21.98
"2023-08-13",33,99387905.00,134485593.00,-26.10
"2023-08-14",43,155233977.00,99387905.00,56.19
"2023-08-15",31,76018924.00,155233977.00,-51.03
"2023-08-16",30,105528590.00,76018924.00,38.82
"2023-08-17",26,90508956.00,105528590.00,-14.23
"2023-08-18",32,128634943.00,90508956.00,42.12
"2023-08-19",42,148157917.00,128634943.00,15.18
"2023-08-20",35,125300173.00,148157917.00,-15.43
"2023-08-21",37,125361046.00,125300173.00,0.05
"2023-08-22",36,115559970.00,125361046.00,-7.82
"2023-08-23",40,133906492.00,115559970.00,15.88
"2023-08-24",21,78075628.00,133906492.00,-41.69
"2023-08-25",37,158463678.00,78075628.00,102.96
"2023-08-26",29,107843358.00,158463678.00,-31.94
"2023-08-27",34,118652223.00,107843358.00,10.02
"2023-08-28",34,123806549.00,118652223.00,4.34
"2023-08-29",36,116321434.00,123806549.00,-6.05
"2023-08-30",31,98791021.00,116321434.00,-15.07
"2023-08-31",25,97888235.00,98791021.00,-0.91
"2023-09-01",34,81066599.00,97888235.00,-17.18
"2023-09-02",33,119174729.00,81066599.00,47.01
"2023-09-03",34,139263568.00,119174729.00,16.86
"2023-09-04",37,146618749.00,139263568.00,5.28
"2023-09-05",25,59111174.00,146618749.00,-59.68
"2023-09-06",31,104950501.00,59111174.00,77.55
"2023-09-07",36,112115467.00,104950501.00,6.83
"2023-09-08",44,176765550.00,112115467.00,57.66
"2023-09-09",26,80538566.00,176765550.00,-54.44
"2023-09-10",34,126430002.00,80538566.00,56.98
"2023-09-11",39,112159348.00,126430002.00,-11.29
"2023-09-12",41,159288671.00,112159348.00,42.02
"2023-09-13",39,130428569.00,159288671.00,-18.12
"2023-09-14",33,105613939.00,130428569.00,-19.03
"2023-09-15",30,101551139.00,105613939.00,-3.85
"2023-09-16",48,150664556.00,101551139.00,48.36
"2023-09-17",33,100463685.00,150664556.00,-33.32
"2023-09-18",35,140820930.00,100463685.00,40.17
"2023-09-19",20,69212981.00,140820930.00,-50.85
"2023-09-20",24,63649788.00,69212981.00,-8.04
"2023-09-21",43,100008666.00,63649788.00,57.12
"2023-09-22",40,101936437.00,100008666.00,1.93
"2023-09-23",28,53937623.00,101936437.00,-47.09
"2023-09-24",31,89406496.00,53937623.00,65.76
"2023-09-25",35,118939613.00,89406496.00,33.03
"2023-09-26",37,116019757.00,118939613.00,-2.45
"2023-09-27",45,198442662.00,116019757.00,71.04
"2023-09-28",35,137554439.00,198442662.00,-30.68
"2023-09-29",33,117978522.00,137554439.00,-14.23
"2023-09-30",26,92366846.00,117978522.00,-21.71
"2023-10-01",32,101474439.00,92366846.00,9.86
"2023-10-02",32,99693469.00,101474439.00,-1.76
"2023-10-03",27,86032782.00,99693469.00,-13.70
"2023-10-04",37,116106493.00,86032782.00,34.96
"2023-10-05",39,145414188.00,116106493.00,25.24
"2023-10-06",38,114546993.00,145414188.00,-21.23
"2023-10-07",31,91804533.00,114546993.00,-19.85
"2023-10-08",35,116131558.00,91804533.00,26.50
"2023-10-09",32,82173283.00,116131558.00,-29.24
"2023-10-10",33,140096651.00,82173283.00,70.49
"2023-10-11",33,98960358.00,140096651.00,-29.36
"2023-10-12",31,119141641.00,98960358.00,20.39
"2023-10-13",39,116312586.00,119141641.00,-2.37
"2023-10-14",36,109363447.00,116312586.00,-5.97
"2023-10-15",39,114680329.00,109363447.00,4.86
"2023-10-16",27,89833298.00,114680329.00,-21.67
"2023-10-17",34,98451808.00,89833298.00,9.59
"2023-10-18",38,117135064.00,98451808.00,18.98
"2023-10-19",42,122513284.00,117135064.00,4.59
"2023-10-20",30,121650716.00,122513284.00,-0.70
"2023-10-21",31,72098827.00,121650716.00,-40.73
"2023-10-22",25,81947845.00,72098827.00,13.66
"2023-10-23",37,118767212.00,81947845.00,44.93
"2023-10-24",35,102812410.00,118767212.00,-13.43
"2023-10-25",41,152979330.00,102812410.00,48.79
"2023-10-26",38,121504018.00,152979330.00,-20.57
"2023-10-27",33,124601064.00,121504018.00,2.55
"2023-10-28",40,152899875.00,124601064.00,22.71
"2023-10-29",42,144082007.00,152899875.00,-5.77
"2023-10-30",33,119620311.00,144082007.00,-16.98
"2023-10-31",34,89636531.00,119620311.00,-25.07
"2023-11-01",35,140626975.00,89636531.00,56.89
"2023-11-02",28,101294984.00,140626975.00,-27.97
"2023-11-03",31,81304748.00,101294984.00,-19.73
"2023-11-04",34,142936698.00,81304748.00,75.80
"2023-11-05",25,91936704.00,142936698.00,-35.68
"2023-11-06",44,132878948.00,91936704.00,44.53
"2023-11-07",35,130551369.00,132878948.00,-1.75
"2023-11-08",28,83160823.00,130551369.00,-36.30
"2023-11-09",26,110787652.00,83160823.00,33.22
"2023-11-10",30,123582974.00,110787652.00,11.55
"2023-11-11",39,103776367.00,123582974.00,-16.03
"2023-11-12",24,88162041.00,103776367.00,-15.05
"2023-11-13",41,159285920.00,88162041.00,80.67
"2023-11-14",33,117689613.00,159285920.00,-26.11
"2023-11-15",38,127534782.00,117689613.00,8.37
"2023-11-16",31,98091705.00,127534782.00,-23.09
"2023-11-17",30,109318039.00,98091705.00,11.44
"2023-11-18",29,87721143.00,109318039.00,-19.76
"2023-11-19",34,90597525.00,87721143.00,3.28
"2023-11-20",22,64257940.00,90597525.00,-29.07
"2023-11-21",37,111457648.00,64257940.00,73.45
"2023-11-22",31,98146080.00,111457648.00,-11.94
"2023-11-23",34,126780218.00,98146080.00,29.18
"2023-11-24",40,144079055.00,126780218.00,13.64
"2023-11-25",27,79155265.00,144079055.00,-45.06
"2023-11-26",42,156209926.00,79155265.00,97.35
"2023-11-27",33,109845467.00,156209926.00,-29.68
"2023-11-28",26,70893576.00,109845467.00,-35.46
"2023-11-29",41,116656716.00,70893576.00,64.55
"2023-11-30",25,79706192.00,116656716.00,-31.67
"2023-12-01",28,105768818.00,79706192.00,32.70
"2023-12-02",25,73178681.00,105768818.00,-30.81
"2023-12-03",20,68924417.00,73178681.00,-5.81
"2023-12-04",35,119470431.00,68924417.00,73.34
"2023-12-05",28,84636555.00,119470431.00,-29.16
"2023-12-06",29,96363136.00,84636555.00,13.86
"2023-12-07",37,112455970.00,96363136.00,16.70
"2023-12-08",29,82008432.00,112455970.00,-27.08
"2023-12-09",32,90839923.00,82008432.00,10.77
"2023-12-10",32,93217396.00,90839923.00,2.62
"2023-12-11",41,136144989.00,93217396.00,46.05
"2023-12-12",39,175207042.00,136144989.00,28.69
"2023-12-13",33,124301629.00,175207042.00,-29.05
"2023-12-14",28,86988430.00,124301629.00,-30.02
"2023-12-15",40,118391501.00,86988430.00,36.10
"2023-12-16",30,102345153.00,118391501.00,-13.55
"2023-12-17",33,77347212.00,102345153.00,-24.43
"2023-12-18",37,127635549.00,77347212.00,65.02
"2023-12-19",29,86518748.00,127635549.00,-32.21
"2023-12-20",41,135556130.00,86518748.00,56.68
"2023-12-21",21,79063149.00,135556130.00,-41.67
"2023-12-22",33,89059578.00,79063149.00,12.64
"2023-12-23",41,140153773.00,89059578.00,57.37
"2023-12-24",29,106493978.00,140153773.00,-24.02
"2023-12-25",36,103448733.00,106493978.00,-2.86
"2023-12-26",27,70223685.00,103448733.00,-32.12
"2023-12-27",43,140085270.00,70223685.00,99.48
"2023-12-28",38,127196904.00,140085270.00,-9.20
"2023-12-29",40,126108222.00,127196904.00,-0.86
"2023-12-30",25,67724311.00,126108222.00,-46.30
"2023-12-31",33,133854606.00,67724311.00,97.65
"2024-01-01",36,150251806.00,133854606.00,12.25
"2024-01-02",38,142351309.00,150251806.00,-5.26
"2024-01-03",38,128840868.00,142351309.00,-9.49
"2024-01-04",28,89895096.00,128840868.00,-30.23
"2024-01-05",39,113094830.00,89895096.00,25.81
"2024-01-06",37,141498295.00,113094830.00,25.11
"2024-01-07",32,103272218.00,141498295.00,-27.02
"2024-01-08",39,143152886.00,103272218.00,38.62
"2024-01-09",31,110512008.00,143152886.00,-22.80
"2024-01-10",34,122170662.00,110512008.00,10.55
"2024-01-11",36,131378074.00,122170662.00,7.54
"2024-01-12",26,77851670.00,131378074.00,-40.74
"2024-01-13",29,91667756.00,77851670.00,17.75
"2024-01-14",35,72484622.00,91667756.00,-20.93
"2024-01-15",33,107339416.00,72484622.00,48.09
"2024-01-16",31,113150626.00,107339416.00,5.41
"2024-01-17",37,123174452.00,113150626.00,8.86
"2024-01-18",40,128406661.00,123174452.00,4.25
"2024-01-19",32,105829361.00,128406661.00,-17.58
"2024-01-20",37,125147759.00,105829361.00,18.25
"2024-01-21",32,84116976.00,125147759.00,-32.79
"2024-01-22",29,111292840.00,84116976.00,32.31
"2024-01-23",33,122233591.00,111292840.00,9.83
"2024-01-24",32,122827431.00,122233591.00,0.49
"2024-01-25",36,150116795.00,122827431.00,22.22
"2024-01-26",38,97973808.00,150116795.00,-34.73
"2024-01-27",30,92938329.00,97973808.00,-5.14
"2024-01-28",25,77460101.00,92938329.00,-16.65
"2024-01-29",24,63943712.00,77460101.00,-17.45
"2024-01-30",43,134811853.00,63943712.00,110.83
"2024-01-31",37,117376530.00,134811853.00,-12.93
"2024-02-01",34,122413813.00,117376530.00,4.29
"2024-02-02",42,141856303.00,122413813.00,15.88
"2024-02-03",28,85653377.00,141856303.00,-39.62
"2024-02-04",36,109779178.00,85653377.00,28.17
"2024-02-05",25,67239751.00,109779178.00,-38.75
"2024-02-06",32,131927903.00,67239751.00,96.21
"2024-02-07",32,98021373.00,131927903.00,-25.70
"2024-02-08",30,109055184.00,98021373.00,11.26
"2024-02-09",23,70647152.00,109055184.00,-35.22
"2024-02-10",30,106908571.00,70647152.00,51.33
"2024-02-11",26,78442692.00,106908571.00,-26.63
"2024-02-12",26,62338929.00,78442692.00,-20.53
"2024-02-13",41,131854765.00,62338929.00,111.51
"2024-02-14",25,86112694.00,131854765.00,-34.69
"2024-02-15",38,135464698.00,86112694.00,57.31
"2024-02-16",28,126420629.00,135464698.00,-6.68
"2024-02-17",31,98215669.00,126420629.00,-22.31
"2024-02-18",35,117963754.00,98215669.00,20.11
"2024-02-19",36,108945539.00,117963754.00,-7.64
"2024-02-20",26,87898862.00,108945539.00,-19.32
"2024-02-21",34,144014044.00,87898862.00,63.84
"2024-02-22",35,134526142.00,144014044.00,-6.59
"2024-02-23",24,81886410.00,134526142.00,-39.13
"2024-02-24",43,162096366.00,81886410.00,97.95
"2024-02-25",36,115654628.00,162096366.00,-28.65
"2024-02-26",25,76833268.00,115654628.00,-33.57
"2024-02-27",40,167850531.00,76833268.00,118.46
"2024-02-28",33,141099541.00,167850531.00,-15.94
"2024-02-29",36,111140660.00,141099541.00,-21.23
"2024-03-01",27,94233639.00,111140660.00,-15.21
"2024-03-02",27,98218093.00,94233639.00,4.23
"2024-03-03",24,67540392.00,98218093.00,-31.23
"2024-03-04",35,126181658.00,67540392.00,86.82
"2024-03-05",34,103070564.00,126181658.00,-18.32
"2024-03-06",36,109274210.00,103070564.00,6.02
"2024-03-07",27,97708985.00,109274210.00,-10.58
"2024-03-08",35,103703972.00,97708985.00,6.14
"2024-03-09",40,133450273.00,103703972.00,28.68
"2024-03-10",23,57597490.00,133450273.00,-56.84
"2024-03-11",28,84678092.00,57597490.00,47.02
"2024-03-12",39,146260568.00,84678092.00,72.73
"2024-03-13",30,108244730.00,146260568.00,-25.99
"2024-03-14",35,114725899.00,108244730.00,5.99
"2024-03-15",31,105555363.00,114725899.00,-7.99
"2024-03-16",35,122241284.00,105555363.00,15.81
"2024-03-17",35,109117997.00,122241284.00,-10.74
"2024-03-18",32,110186418.00,109117997.00,0.98
"2024-03-19",38,130933487.00,110186418.00,18.83
"2024-03-20",28,105681037.00,130933487.00,-19.29
"2024-03-21",31,109478821.00,105681037.00,3.59
"2024-03-22",23,69311024.00,109478821.00,-36.69
"2024-03-23",43,147433727.00,69311024.00,112.71
"2024-03-24",36,127947624.00,147433727.00,-13.22
"2024-03-25",31,82828872.00,127947624.00,-35.26
"2024-03-26",29,87229213.00,82828872.00,5.31
"2024-03-27",26,109885469.00,87229213.00,25.97
"2024-03-28",27,67333372.00,109885469.00,-38.72
"2024-03-29",26,76906177.00,67333372.00,14.22
"2024-03-30",35,112474606.00,76906177.00,46.25
"2024-03-31",36,110605846.00,112474606.00,-1.66
"2024-04-01",26,76129554.00,110605846.00,-31.17
"2024-04-02",47,142432123.00,76129554.00,87.09
"2024-04-03",31,113927237.00,142432123.00,-20.01
"2024-04-04",42,132414859.00,113927237.00,16.23
"2024-04-05",44,161154811.00,132414859.00,21.70
"2024-04-06",25,97623475.00,161154811.00,-39.42
"2024-04-07",32,101944070.00,97623475.00,4.43
"2024-04-08",41,146474485.00,101944070.00,43.68
"2024-04-09",29,91509664.00,146474485.00,-37.53
"2024-04-10",34,90002480.00,91509664.00,-1.65
"2024-04-11",34,122347697.00,90002480.00,35.94
"2024-04-12",30,87239421.00,122347697.00,-28.70
"2024-04-13",38,114118033.00,87239421.00,30.81
"2024-04-14",34,140251210.00,114118033.00,22.90
"2024-04-15",34,97457991.00,140251210.00,-30.51
"2024-04-16",33,115935608.00,97457991.00,18.96
"2024-04-17",30,96898255.00,115935608.00,-16.42
"2024-04-18",37,165856930.00,96898255.00,71.17
"2024-04-19",30,88476676.00,165856930.00,-46.65
"2024-04-20",45,133931370.00,88476676.00,51.37
"2024-04-21",32,104349870.00,133931370.00,-22.09
"2024-04-22",40,153549053.00,104349870.00,47.15
"2024-04-23",40,156193361.00,153549053.00,1.72
"2024-04-24",42,136178429.00,156193361.00,-12.81
"2024-04-25",31,103310892.00,136178429.00,-24.14
"2024-04-26",41,148391946.00,103310892.00,43.64
"2024-04-27",34,109516611.00,148391946.00,-26.20
"2024-04-28",29,101755382.00,109516611.00,-7.09
"2024-04-29",37,127006862.00,101755382.00,24.82
"2024-04-30",30,80770497.00,127006862.00,-36.40
"2024-05-01",23,93526490.00,80770497.00,15.79
"2024-05-02",34,114057123.00,93526490.00,21.95
"2024-05-03",28,67547067.00,114057123.00,-40.78
"2024-05-04",32,103373748.00,67547067.00,53.04
"2024-05-05",28,95572664.00,103373748.00,-7.55
"2024-05-06",24,79465996.00,95572664.00,-16.85
"2024-05-07",34,97515507.00,79465996.00,22.71
"2024-05-08",30,115432122.00,97515507.00,18.37
"2024-05-09",36,118996768.00,115432122.00,3.09
"2024-05-10",34,165107558.00,118996768.00,38.75
"2024-05-11",45,167958767.00,165107558.00,1.73
"2024-05-12",32,94088756.00,167958767.00,-43.98
"2024-05-13",37,119934733.00,94088756.00,27.47
"2024-05-14",34,135930585.00,119934733.00,13.34
"2024-05-15",45,152981245.00,135930585.00,12.54
"2024-05-16",24,83991485.00,152981245.00,-45.10
"2024-05-17",34,100832107.00,83991485.00,20.05
"2024-05-18",35,126129535.00,100832107.00,25.09
"2024-05-19",24,74101300.00,126129535.00,-41.25
"2024-05-20",23,84524542.00,74101300.00,14.07
"2024-05-21",39,129909219.00,84524542.00,53.69
"2024-05-22",38,158520468.00,129909219.00,22.02
"2024-05-23",29,91120991.00,158520468.00,-42.52
"2024-05-24",33,113024849.00,91120991.00,24.04
"2024-05-25",27,108770110.00,113024849.00,-3.76
"2024-05-26",30,84261620.00,108770110.00,-22.53
"2024-05-27",36,119086058.00,84261620.00,41.33
"2024-05-28",31,106097087.00,119086058.00,-10.91
"2024-05-29",30,94637104.00,106097087.00,-10.80
"2024-05-30",35,129079280.00,94637104.00,36.39
"2024-05-31",34,111589967.00,129079280.00,-13.55
"2024-06-01",27,89635349.00,111589967.00,-19.67
"2024-06-02",24,92270592.00,89635349.00,2.94
"2024-06-03",29,82041113.00,92270592.00,-11.09
"2024-06-04",33,105972532.00,82041113.00,29.17
"2024-06-05",33,86344613.00,105972532.00,-18.52
"2024-06-06",47,141158818.00,86344613.00,63.48
"2024-06-07",44,128341588.00,141158818.00,-9.08
"2024-06-08",35,121245404.00,128341588.00,-5.53
